TripId,StopId,StopSequence,ArrivalDelay,ArrivalTime,DepartureDelay,DepartureTime,ScheduleRelationship
254163638,9057862,,,,0.0,,Scheduled
282351984,9013478,,,,0.0,,Scheduled
282385362,9058008,5.0,-60.0,,0.0,,Scheduled
264505093,9050640,11.0,30.0,,30.0,,Scheduled
282384857,9049320,,,,0.0,,Scheduled
282181347,8002553,,,,0.0,,Scheduled
282188083,9090291,,,,0.0,,Scheduled
282351771,9023280,7.0,60.0,,0.0,,Scheduled
282392510,8002549,,,,0.0,,Scheduled
282184222,9049079,,,,0.0,,Scheduled
280186337,9014287,,,,0.0,,Scheduled
282187429,9099737,,,,0.0,,Scheduled
274410183,705022,8.0,0.0,,0.0,,Scheduled
282358230,9027253,,,,0.0,,Scheduled
279030600,9013864,,,,0.0,,Scheduled
282188188,9012657,,,,0.0,,Scheduled
282351742,9011118,,,,0.0,,Scheduled
282183741,9049079,,,,0.0,,Scheduled
282352057,8002553,,,,0.0,,Scheduled
255948163,9089379,,,,39.0,,Scheduled
279035390,9014029,10.0,0.0,,0.0,,Scheduled
282384703,9006220,,,,0.0,,Scheduled
282351637,8011480,,,,0.0,,Scheduled
282392468,8000058,,,,0.0,,Scheduled
282181664,9066023,,,,0.0,,Scheduled
282184047,9049079,,,,0.0,,Scheduled
257706490,9000968,31.0,0.0,,0.0,,Scheduled
282183932,8000238,,,,0.0,,Scheduled
282352148,9098523,,,,0.0,,Scheduled
282351667,9068704,,,,0.0,,Scheduled
282187928,9013927,,,,0.0,,Scheduled
282351997,9066926,,,,0.0,,Scheduled
282181712,9066023,,,,0.0,,Scheduled
282188122,9013927,,,,0.0,,Scheduled
282484939,9014423,,,,0.0,,Scheduled
256656429,9089607,12.0,60.0,,60.0,,Scheduled
282187357,9025726,,,,0.0,,Scheduled
282384692,9006220,,,,0.0,,Scheduled
282181217,9039654,,,,0.0,,Scheduled
282129511,9072716,23.0,0.0,,0.0,,Scheduled
279028237,9013905,,,,0.0,,Scheduled
282357298,9023309,4.0,120.0,,60.0,,Scheduled
282351809,8004665,9.0,60.0,,120.0,,Scheduled
282351432,8000049,,,,0.0,,Scheduled
282187589,9013927,,,,0.0,,Scheduled
282349256,8000023,,,,0.0,,Scheduled
282181545,9101825,,,,0.0,,Scheduled
279000466,9043530,20.0,0.0,,0.0,,Scheduled
279010166,9049424,9.0,60.0,,70.0,,Scheduled
257707385,9000446,22.0,0.0,,0.0,,Scheduled
282188119,9013927,,,,0.0,,Scheduled
282349106,8002549,,,,0.0,,Scheduled
282392449,8000058,,,,0.0,,Scheduled
257709481,9099164,45.0,0.0,,0.0,,Scheduled
282384924,9076697,,,,0.0,,Scheduled
282181288,9017279,,,,0.0,,Scheduled
282184039,9049079,,,,0.0,,Scheduled
282188215,9013927,,,,0.0,,Scheduled
282185411,9033817,,,,0.0,,Scheduled
282351509,8000049,9.0,-60.0,,0.0,,Scheduled
282351472,8005413,,,,0.0,,Scheduled
282187135,9013927,,,,0.0,,Scheduled
282385472,9057819,,,,0.0,,Scheduled
274411768,708555,18.0,0.0,,0.0,,Scheduled
276907966,705106,7.0,40.0,,0.0,,Scheduled
256657204,9089513,20.0,-60.0,,0.0,,Scheduled
282351529,9041699,,,,0.0,,Scheduled
257709464,9099164,45.0,0.0,,0.0,,Scheduled
282351696,8010256,,,,0.0,,Scheduled
