TripId,StopId,StopSequence,ArrivalDelay,ArrivalTime,DepartureDelay,DepartureTime,ScheduleRelationship
292595792,9013927,,,,0.0,,Scheduled
284276697,9054797,,,,0.0,,Scheduled
291600955,990042,,,,0.0,,Scheduled
292592753,8005413,,,,0.0,,Scheduled
291587446,990011,,,,0.0,,Scheduled
292610297,9058104,,,,0.0,,Scheduled
292597269,8002549,,,,0.0,,Scheduled
285660421,1205115,,,,0.0,,Scheduled
287895100,9014155,,,,0.0,,Scheduled
287898008,9014155,,,,0.0,,Scheduled
292817273,1290235,,,,0.0,,Scheduled
292595490,9013927,,,,0.0,,Scheduled
292599211,5100057,,,,0.0,,Scheduled
292610259,9057819,,,,0.0,,Scheduled
291592123,901251,3.0,,,65.0,,Scheduled
291573551,1203165,,,,115.0,,Scheduled
292596325,8002549,,,,0.0,,Scheduled
292384314,9066023,,,,0.0,,Scheduled
287898345,9014184,,,,0.0,,Scheduled
273202479,705969,,,,0.0,,Scheduled
292600294,9044660,,,,0.0,,Scheduled
292610696,9057819,,,,0.0,,Scheduled
285661321,1200395,,,,0.0,,Scheduled
292610489,8002549,,,,0.0,,Scheduled
292610217,9066582,,,,0.0,,Scheduled
257705460,9000392,22.0,91.0,,91.0,,Scheduled
281014293,705118,,,,0.0,,Scheduled
292593100,8000019,,,,0.0,,Scheduled
291080516,9089375,16.0,120.0,,0.0,,Scheduled
292599076,8010268,,,,0.0,,Scheduled
291610966,990042,,,,0.0,,Scheduled
291608383,110051,,,,0.0,,Scheduled
284276974,9012654,21.0,91.0,,91.0,,Scheduled
292804686,8000148,,,,0.0,,Scheduled
292600189,9098523,,,,0.0,,Scheduled
292384225,8000023,,,,0.0,,Scheduled
291585589,950421,9.0,,,154.0,,Scheduled
292382481,8000036,,,,0.0,,Scheduled
291600165,963071,27.0,,,79.0,,Scheduled
291589575,902131,,,,0.0,,Scheduled
292810896,1200032,42.0,60.0,1688292180.0,60.0,1688292180.0,Scheduled
292594528,9022679,,,,0.0,,Scheduled
277254301,9037618,28.0,60.0,,60.0,,Scheduled
291601499,903915,,,,0.0,,Scheduled
292814335,1250137,12.0,120.0,1688288820.0,120.0,1688288820.0,Scheduled
292599956,9039654,,,,0.0,,Scheduled
291603939,990042,,,,0.0,,Scheduled
292384076,8002553,,,,0.0,,Scheduled
287895650,9014184,,,,0.0,,Scheduled
292594857,9340000,,,,0.0,,Scheduled
292380768,9033817,,,,0.0,,Scheduled
292610299,9058104,,,,0.0,,Scheduled
291608458,907094,,,,0.0,,Scheduled
265066992,9000473,35.0,,,,1688338710.0,Scheduled
292599346,8010322,,,,0.0,,Scheduled
278997348,9081745,7.0,60.0,,60.0,,Scheduled
292594876,8000058,,,,0.0,,Scheduled
292384211,8000023,,,,0.0,,Scheduled
292611145,9058104,,,,0.0,,Scheduled
291604336,905001,,,,0.0,,Scheduled
292594426,9076697,,,,0.0,,Scheduled
292383711,9046671,,,,0.0,,Scheduled
292595475,9067927,,,,0.0,,Scheduled
292597259,8002549,,,,0.0,,Scheduled
287901900,9013765,,,,0.0,,Scheduled
291579949,994779,,,,0.0,,Scheduled
273202484,705969,,,,0.0,,Scheduled
292610221,9066582,,,,0.0,,Scheduled
292384305,9066023,,,,0.0,,Scheduled
280992212,704865,11.0,0.0,,0.0,,Scheduled
291590717,993311,13.0,,,0.0,,Scheduled
291591764,910121,,,,0.0,,Scheduled
292594745,9044660,,,,0.0,,Scheduled
291612381,909488,,,,0.0,,Scheduled
254835366,9049337,32.0,0.0,,0.0,,Scheduled
292804977,8002589,,,,0.0,,Scheduled
292593166,8004665,5.0,0.0,,60.0,,Scheduled
288316488,9034001,13.0,30.0,,0.0,,Scheduled
291601216,905281,7.0,-60.0,,0.0,,Scheduled
288317121,9033971,20.0,30.0,,0.0,,Scheduled
292380741,9033817,,,,0.0,,Scheduled
292595448,9067927,,,,0.0,,Scheduled
292611129,9057819,,,,0.0,,Scheduled
292820178,1290093,12.0,219.0,,219.0,,Scheduled
291574925,844514,,,,0.0,,Scheduled
256660274,9053129,16.0,60.0,,60.0,,Scheduled
287900513,9013783,48.0,0.0,,0.0,,Scheduled
261501793,9000412,,,,0.0,,Scheduled
292593740,8002549,,,,0.0,,Scheduled
292816644,1220342,,,,0.0,,Scheduled
292805135,8000064,,,,0.0,,Scheduled
292593219,9023280,,,,0.0,,Scheduled
287903583,9013797,18.0,0.0,,0.0,,Scheduled
291080513,9014515,,,,0.0,,Scheduled
292592830,9041699,,,,0.0,,Scheduled
265523271,9011247,,,,0.0,,Scheduled
292804700,8000152,,,,0.0,,Scheduled
258443068,9026272,10.0,120.0,,126.0,,Scheduled
273202530,705952,,,,0.0,,Scheduled
291575151,844514,,,,0.0,,Scheduled
292382274,9013927,,,,0.0,,Scheduled
292610205,9057819,,,,0.0,,Scheduled
292594991,8010322,17.0,60.0,,0.0,,Scheduled
292595402,8000152,,,,0.0,,Scheduled
292597338,9049079,,,,0.0,,Scheduled
292803989,8001393,7.0,180.0,,180.0,,Scheduled
287901811,9014055,2.0,0.0,,0.0,,Scheduled
292384240,8000023,,,,0.0,,Scheduled
291575328,1201752,,,,0.0,,Scheduled
292599984,9046671,5.0,-60.0,,0.0,,Scheduled
291604091,905720,,,,0.0,,Scheduled
292594193,9006220,,,,0.0,,Scheduled
292610174,9057819,,,,0.0,,Scheduled
291585130,990042,,,,0.0,,Scheduled
291611405,909110,,,,0.0,,Scheduled
292611143,9058104,,,,0.0,,Scheduled
291604809,905001,,,,0.0,,Scheduled
287898509,9013905,,,,0.0,,Scheduled
280979604,708543,37.0,0.0,,20.0,,Scheduled
292594257,9049079,,,,0.0,,Scheduled
285661584,1209120,11.0,61.0,,0.0,,Scheduled
292818088,1200279,,,,0.0,,Scheduled
257706752,9000392,20.0,90.0,,90.0,,Scheduled
287906023,9014988,,,,0.0,,Scheduled
257709691,9006433,28.0,,,,1688312460.0,Scheduled
287895644,9014184,,,,0.0,,Scheduled
280997916,708301,6.0,0.0,,0.0,,Scheduled
281005140,704890,15.0,0.0,,30.0,,Scheduled
271090920,9068634,6.0,-120.0,,0.0,,Scheduled
291573815,1250342,,,,0.0,,Scheduled
291507856,705921,21.0,61.0,,61.0,,Scheduled
292816646,1280161,4.0,180.0,1688288580.0,180.0,1688288580.0,Scheduled
291585138,990042,,,,0.0,,Scheduled
291507834,705898,,,,0.0,,Scheduled
291610932,906950,17.0,,,72.0,,Scheduled
292594239,9049079,,,,0.0,,Scheduled
292595757,9071612,,,,0.0,,Scheduled
291610926,990042,,,,0.0,,Scheduled
292803697,8000252,,,,0.0,,Scheduled
292599156,9340000,,,,0.0,,Scheduled
292804874,8002589,,,,0.0,,Scheduled
